"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-PPN","","","Black Coffee Arabica Standard Saring","hPyhWzyQa7fPmu2dl6jJKQB_NABYULS2RCWTEI5DWOX2T2P3","1","","19800","0","","PPn","10","","yes","Cash","1-10003","",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-PPN","","","Iced Matcha Latte","1TZiSYzmrW2p2AAW2bphKQB_IMEHMSIMCS5XTKPNNXVSITMF","1","","31900","0","","PPn","10","","yes","Cash","1-10003","",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-PPN","","","Mochachino Regular Blend","xD8xlFuLxKsm6QeqegUVKQB_CY7BYLEQC6R6TGDWBZ72PJIC","1","","27500","0","","PPn","10","","yes","Cash","1-10003","",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-PPN","","","Black Coffee Robusta Standard Tubruk","PMn4FtmIv91ugnPdCc8LLQB_NABYULS2RCWTEI5DWOX2T2P3","1","","11000","0","","PPn","10","","yes","Cash","1-10003","",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-PPN","","","Chapress","rCjE7Cox1YzFboTNRtNxJQB_409E5CC6-9378-4D97-9811-2BCCFC9D907A","1","","31900","0","","PPn","10","","yes","Cash","1-10003","",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-PPN","","","Ayam Geprek","pr8S9gt2txanjkjMmMUYLQB_MDY4AF5WYLA5BCEKPIJAYZP3","2","","44000","0","","PPn","10","","yes","Cash","1-10003","",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-PPN","","","Ice Thai Tea Latte","pr8S9gt2txanjkjMmMUYLQB_8B0596D1-1871-4C89-82A5-7D594B9B4EAC","1","","22000","0","","PPn","10","","yes","Cash","1-10003","",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-PPN","","","Iced Matcha Latte","pr8S9gt2txanjkjMmMUYLQB_IMEHMSIMCS5XTKPNNXVSITMF","1","","31900","0","","PPn","10","","yes","Cash","1-10003","",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-PPN","","","Es Kopi Susu Aja","J9xWcXbj6bd8WRH7v3c4KQB_74KRR56K7IQ2F3IA3QSIXMGY","1","","19800","0","","PPn","10","","yes","Cash","1-10003","",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-PPN","","","Iced Matcha Latte","xHeXq8pKXceTJDo7S0sEKQB_IMEHMSIMCS5XTKPNNXVSITMF","1","","31900","0","","PPn","10","","yes","Cash","1-10003","",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-PPN","","","Vanillato","b0Kbivl1CiM2DP7H8PEXKQB_NRYIERNXR4DYTY2FU7P2WYLQ","1","","31900","0","","PPn","10","","yes","Cash","1-10003","",""
