"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Es Kopi Susu Aja","X22Ozy68pijvRP2jfLCDKQB_74KRR56K7IQ2F3IA3QSIXMGY","1","","0","100","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Nasi Ayam Lalapan","X22Ozy68pijvRP2jfLCDKQB_6PRA4OE7ZSUWOGXUZVME4NV6","1","","20000","0","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Black Coffee Arabica Standard Saring","X22Ozy68pijvRP2jfLCDKQB_NABYULS2RCWTEI5DWOX2T2P3","2","","0","100","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Ayam Geprek Tanpa Nasi","X22Ozy68pijvRP2jfLCDKQB_XIFF7VKZDIJ5P2N7EXNCR3M5","1","","8400","30","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Kacang Telur","X22Ozy68pijvRP2jfLCDKQB_P3MGETXPW2DKXJC6ZH7NYBSA","2","","10000","0","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Kentang Goreng Keju","X22Ozy68pijvRP2jfLCDKQB_5HFAJ2ZYPKFJ5XFLOADMKYBB","1","","18000","0","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Teh Kotak","X22Ozy68pijvRP2jfLCDKQB_7ZTXQJD3HXASGUDWSXPFX4I6","1","","4000","0","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Es Kopi Susu Aja","X22Ozy68pijvRP2jfLCDKQB_74KRR56K7IQ2F3IA3QSIXMGY","2","","0","100","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Roti Bakar - Coklat","X22Ozy68pijvRP2jfLCDKQB_Y3XO6ULXVPRQ7HBUEQM3KJJD","1","","15000","0","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Teh Kotak","X22Ozy68pijvRP2jfLCDKQB_7ZTXQJD3HXASGUDWSXPFX4I6","1","","4000","0","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Teh Kotak","3MLhQ0DxZLCG7VJmhEHPLQB_7ZTXQJD3HXASGUDWSXPFX4I6","2","","8000","0","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Air Mineral","3MLhQ0DxZLCG7VJmhEHPLQB_ZLLU24KKL5G7DD2DZS4KCJQD","4","","10000","50","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Air Mineral","3MLhQ0DxZLCG7VJmhEHPLQB_ZLLU24KKL5G7DD2DZS4KCJQD","1","","2500","50","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Teh Kotak","3MLhQ0DxZLCG7VJmhEHPLQB_7ZTXQJD3HXASGUDWSXPFX4I6","1","","4000","0","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Air Mineral","3MLhQ0DxZLCG7VJmhEHPLQB_ZLLU24KKL5G7DD2DZS4KCJQD","4","","10000","50","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
