square_item_name,square_item_variant,square_item_modifier,jurnal_item_name
Iced Black Coffee,Arabica Reguler,BB Drip,Iced Black Coffee Arabica Standard Saring
Iced Black Coffee,Arabica Premium,Tubruk,Iced Black Coffee Arabica Premium Tubruk
Iced Black Coffee,Arabica Premium,V60,Iced Black Coffee Arabica Premium Saring
Iced Black Coffee,Arabica Premium,Aeropress,Iced Black Coffee Arabica Premium Saring
Iced Black Coffee,Arabica Premium,Kalita,Iced Black Coffee Arabica Premium Saring
Iced Black Coffee,Arabica Premium,Vietnam Drip,Iced Black Coffee Arabica Premium Saring
Iced Black Coffee,Arabica Premium,French Press,Iced Black Coffee Arabica Premium Saring
Iced Black Coffee,Arabica Premium,BB Drip,Iced Black Coffee Arabica Premium Saring
Iced Black Coffee,Robusta Standard,Tubruk,Iced Black Coffee Robusta Standard Tubruk
Iced Black Coffee,Robusta Standard,V60,Iced Black Coffee Robusta Standard Saring
Iced Black Coffee,Robusta Standard,Aeropress,Iced Black Coffee Robusta Standard Saring
Iced Black Coffee,Robusta Standard,Kalita,Iced Black Coffee Robusta Standard Saring
Iced Black Coffee,Robusta Standard,Vietnam Drip,Iced Black Coffee Robusta Standard Saring
Iced Black Coffee,Robusta Standard,French Press,Iced Black Coffee Robusta Standard Saring
Iced Black Coffee,Robusta Standard,BB Drip,Iced Black Coffee Robusta Standard Saring
Iced Black Coffee,Java Blend,,Ice Americano
Iced Black Coffee,Java Blend,V60,Ice Americano
Iced Black Coffee,Java Blend,Aeropress,Ice Americano
Iced Black Coffee,Java Blend,Kalita,Ice Americano
Iced Black Coffee,Java Blend,Vietnam Drip,Ice Americano
Iced Black Coffee,Java Blend,French Press,Ice Americano
Iced Black Tea,Regular,,Iced Black Tea
Iced Cafe Latte (Gojek),Vanilla,,Iced Cafe Latte Vanilla (Gojek)
Iced Cappucino,Regular,,Iced Cappuccino
Iced Cappucino (Gojek),Regular,,Iced Cappuccino (Gojek)
Iced Choco Latte,West Java,,Iced Choco Latte
Iced Choco Latte (Gojek),West Java,,Iced Chocolate (Gojek)
Iced Espresso Susu,Regular,,Iced Espresso Susu
Iced Espresso Susu (Gojek),Regular,,Iced Espresso Susu (Gojek)
Iced Kopi Susu,French Press,,Iced Kopi Susu French Press
Iced Kopi Susu,Klasik,,Iced Kopi Susu Klasik
Iced Kopi Susu,Vietnam Drip,,Iced Kopi Susu Vietnam Drip
Iced Kopi Susu,Es Kopi Susu Aja,,Es Kopi Susu Aja
Iced Kopi Susu (Gojek),Regular,,Iced Kopi Susu (Gojek)
Iced Kopi Susu Special,Kutai,,Iced Kopi Susu Kutai
Iced Kopi Susu Special,Singkawang,,Iced Kopi Susu Singkawang
